original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
2817,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,319,.,(se)ñora esa (se)ñora .%mor: n|señora&f=lady det:dem|ese-f=that n|señora&f=lady .,%mor:
2818,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,321,.,esta es una señora .%mor: det:dem|este-f=this cop|se-3S&PRES=be det:art|un-f=one n|señora&f=lady .,%mor:
2819,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,324,.,monos .%mor: adj|mono-m-PL=cool .,%mor:
2820,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,326,.,y este mono se ríe .%mor: coord|y=and det:dem|este=this n|mono-m=monkey pro:refl|se=itself v|reí-3S&PRES=laugh .,%mor:
2821,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,329,.,ese .%mor: det:dem|ese=that .,%mor:
2822,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,331,.,eso un mono .%mor: pro:dem|eso=that_one det:art|un&m=one n|mono-m=monkey .,%mor:
2823,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,333,.,ese hace ese mono .%mor: det:dem|ese=that v|hace-3S&PRES=do det:dem|ese=that n|mono-m=monkey .,%mor:
2824,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,336,?,que hace ese mono ?%mor: pro:rel|que=that v|hace-3S&PRES=do det:dem|ese=that n|mono-m=monkey ?,%mor:
2825,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,339,.,sí .%mor: co|sí=yes .,%mor:
2826,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,341,?,que tiene ?%mor: pro:rel|que=that v|tene-3S&PRES=have ?,%mor:
2827,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,343,.,le cojo .%mor: pro:ind|le&m=him v|coge-1S&PRES=take .,%mor:
2828,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,345,.,tiene una ficha .%mor: v|tene-3S&PRES=have det:art|un-f=one n|ficha&f=marker .,%mor:
2829,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,347,.,que: .%mor: pro:rel|que=that .,%mor:
2830,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,349,.,una ficha de estas mira como se ha puesto la ficha .%mor: det:art|un-f=one n|ficha&f=marker prep|de=of det:dem|este-f-PL=this co|mira=look adv|como=like pro:refl|se=itself aux|habe-3S&PRES=have part|pone-PPART-m=put det:art|el&f&SG=the n|ficha&f=marker .,%mor:
2831,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,353,.,moda la ficha .%mor: n|moda&f=fashion det:art|el&f&SG=the n|ficha&f=marker .,%mor:
2832,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,355,.,muerde la ficha sí .%mor: v|morde-3S&PRES=bite det:art|el&f&SG=the n|ficha&f=marker co|sí=yes .,%mor:
2833,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,358,.,mono .%mor: n|mono-m=monkey .,%mor:
2834,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,360,.,el mono muerde la ficha .%mor: det:art|el&m&SG=the n|mono-m=monkey v|morde-3S&PRES=bite det:art|el&f&SG=the n|ficha&f=marker .,%mor:
2835,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,363,.,ab(r)e a boca .%mor: v|abri-3S&PRES=open prepart|a=to n|boca&f=mouth .,%mor:
2836,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,365,.,abre la boca sí .%mor: v|abri-3S&PRES=open det:art|el&f&SG=the n|boca&f=mouth co|sí=yes .,%mor:
2837,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,367,.,e monos .%mor: coord|e=and adj|mono-m-PL=cool .,%mor:
2838,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,369,!,u:i !%mor: co|ui !,%mor:
2839,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,371,?,que hace ?%mor: pro:rel|que=that v|hace-3S&PRES=do ?,%mor:
2840,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,373,.,hace monos e hace .%mor: v|hace-3S&PRES=do adj|mono-m-PL=cool coord|e=and v|hace-3S&PRES=do .,%mor:
2841,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,376,.,mira .%mor: co|mira=look .,%mor:
2842,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,378,.,que: .%mor: pro:rel|que=that .,%mor:
2843,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,380,?,que hace ?%mor: pro:rel|que=that v|hace-3S&PRES=do ?,%mor:
2844,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,382,.,que que .%mor: pro:rel|que=that pro:rel|que=that .,%mor:
2845,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,384,?,que hace el mono ?%mor: pro:rel|que=that v|hace-3S&PRES=do det:art|el&m&SG=the n|mono-m=monkey ?,%mor:
2846,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,387,.,que (se)ñora .%mor: pro:rel|que=that n|señora&f=lady .,%mor:
2847,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,389,.,está tomando un te .%mor: aux|esta-3S&PRES=be part|toma-PRPART=take det:art|un&m=one pro:obj|te=you .,%mor:
2848,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,392,.,que .%mor: pro:rel|que=that .,%mor:
2849,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,394,.,"ves la señora está bebiendo y el mono también , así mira como bebe .%mor: co|ves=see det:art|el&f&SG=the n|señora&f=lady imp|esta-2S&IMP=be part|bebe-PRPART=drink coord|y=and det:art|el&m&SG=the n|mono-m=monkey adv|también=also cm|cm adv|así=thus co|mira=look adv|como=like v|bebe-3S&PRES=drink .",%mor:
2850,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,400,.,así uf: .%mor: adv|así=thus co|uf .,%mor:
2851,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,403,.,así así bebe .%mor: adv|así=thus adv|así=thus v|bebe-3S&PRES=drink .,%mor:
2852,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,405,.,así bebe mono .%mor: adv|así=thus v|bebe-3S&PRES=drink adj|mono-m=cool .,%mor:
2853,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,407,.,así bebe el mono .%mor: adv|así=thus v|bebe-3S&PRES=drink det:art|el&m&SG=the n|mono-m=monkey .,%mor:
2854,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,410,.,e toam@b hace mono .%mor: coord|e=and bab|toam v|hace-3S&PRES=do adj|mono-m=cool .,%mor:
2855,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,412,.,"le está contando un cuento de un gato y tres gatitos , ves le está contando un cuento al mono .%mor: pro:ind|le&m=him aux|esta-3S&PRES=be part|conta-PRPART=count_tell det:art|un&m=one n|cuento&m=story prep|de=of det:art|un&m=one n|gato-m=cat coord|y=and det:num|tres=three n|gato&m-DIM-PL=cat cm|cm co|ves=see pro:ind|le&m=him aux|esta-3S&PRES=be part|conta-PRPART=count_tell det:art|un&m=one n|cuento&m=story prepart|a~det:art|el&m=to n|mono-m=monkey .",%mor:
2856,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,420,.,(s)eñora .%mor: n|señora&f=lady .,%mor:
2857,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,422,!,la señora le está contando un cuento al mono u:i !%mor: det:art|el&f&SG=the n|señora&f=lady pro:ind|le&m=him aux|esta-3S&PRES=be part|conta-PRPART=count_tell det:art|un&m=one n|cuento&m=story prepart|a~det:art|el&m=to n|mono-m=monkey co|ui !,%mor:
2858,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,426,.,mira como ha pintado aquí .%mor: co|mira=look adv|como=like aux|habe-3S&PRES=have part|pinta-PPART-m=paint adv|aquí=here .,%mor:
2859,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,429,.,que .%mor: pro:rel|que=that .,%mor:
2860,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,431,?,"ha pintado , ves ?%mor: aux|habe-3S&PRES=have part|pinta-PPART-m=paint cm|cm co|ves=see ?",%mor:
2861,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,433,.,mono .%mor: n|mono-m=monkey .,%mor:
2862,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,435,.,sí .%mor: co|sí=yes .,%mor:
2863,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,437,.,mono ese .%mor: n|mono-m=monkey det:dem|ese=that .,%mor:
2864,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,439,.,ese es un mono .%mor: det:dem|ese=that cop|se-3S&PRES=be det:art|un&m=one n|mono-m=monkey .,%mor:
2865,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,442,.,e vas .%mor: coord|e=and v|i-2S&PRES=go .,%mor:
2866,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,444,.,voy aquí .%mor: v|i-1S&PRES=go adv|aquí=here .,%mor:
2867,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,446,.,e vas e vas eya [: allá] dos monos y más monos .%mor: coord|e=and v|i-2S&PRES=go coord|e=and v|i-2S&PRES=go adv|allá=there det:num|dos=two adj|mono-m-PL=cool coord|y=and adv|más=more adj|mono-m-PL=cool .,%mor:
2868,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,450,?,no hay monos ?%mor: adv|no=no v|habe-3S&PRES&SPEC=have adj|mono-m-PL=cool ?,%mor:
2869,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,452,.,oye si hay monos allá allá (su)elo [*] no hay monos .%mor: v|oí-3S&PRES=hear conj|si=if v|habe-3S&PRES&SPEC=have n|mono-m-PL=monkey adv|allá=there adv|allá=there n|suelo&m=floor adv|no=no v|habe-3S&PRES&SPEC=have adj|mono-m-PL=cool .,%mor:
2870,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,456,.,"en el suelo no hay monos , no .%mor: prep|en=in det:art|el&m&SG=the n|suelo&m=floor adv|no=no v|habe-3S&PRES&SPEC=have adj|mono-m-PL=cool cm|cm co|no .",%mor:
2871,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,459,.,a en miro [: libro] [*] sí .%mor: prepart|a=to prep|en=in n|libro&m=book co|sí=yes .,%mor:
2872,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,461,.,en el libro sí .%mor: prep|en=in det:art|el&m&SG=the n|libro&m=book co|sí=yes .,%mor:
2873,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,463,?,y donde se ha subido el mono ?%mor: coord|y=and pro:rel|donde=where pro:refl|se=itself aux|habe-3S&PRES=have part|subi-PPART-m=go_up det:art|el&m&SG=the n|mono-m=monkey ?,%mor:
2874,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,467,.,sí .%mor: co|sí=yes .,%mor:
2875,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,469,?,donde va ?%mor: pro:rel|donde=where v|i-3S&PRES=go ?,%mor:
2876,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,471,.,a a (se)ñora .%mor: prepart|a=to prepart|a=to n|señora&f=lady .,%mor:
2877,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,473,?,le lleva aupa la señora ?%mor: pro:ind|le&m=him v|lleva-3S&PRES=carry v|aupa-3S&PRES=uppie det:art|el&f&SG=the n|señora&f=lady ?,%mor:
2878,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,476,.,mono .%mor: n|mono-m=monkey .,%mor:
2879,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,478,?,el mono ?%mor: det:art|el&m&SG=the n|mono-m=monkey ?,%mor:
2880,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,480,.,ese .%mor: det:dem|ese=that .,%mor:
2881,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,482,?,y aquí donde van ?%mor: coord|y=and adv|aquí=here pro:rel|donde=where v|i-3P&PRES=go ?,%mor:
2882,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,484,.,donde van monos .%mor: pro:rel|donde=where v|i-3P&PRES=go adj|mono-m-PL=cool .,%mor:
2883,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,486,?,que es esto ?%mor: pro:rel|que=that cop|se-3S&PRES=be pro:dem|esto=this_one ?,%mor:
2884,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,488,.,to(dos) [*] monos .%mor: qn|todo-m-PL=all adj|mono-m-PL=cool .,%mor:
2885,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,490,.,"son todos monos aquí , sí .%mor: cop|se-3P&PRES=be pro:indef|todo-m-PL=all n|mono-m-PL=monkey adv|aquí=here cm|cm co|sí=yes .",%mor:
2886,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,493,.,ese .%mor: det:dem|ese=that .,%mor:
2887,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,495,.,va en un coche .%mor: v|i-3S&PRES=go prep|en=in det:art|un&m=one co|coche .,%mor:
2888,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,497,?,como es ese coche ?%mor: adv|como=like cop|se-3S&PRES=be det:dem|ese=that n|coche&m=car ?,%mor:
2889,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,499,.,rojo .%mor: adj|rojo-m=red .,%mor:
2890,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,501,!,rojo !%mor: adj|rojo-m=red !,%mor:
2891,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,503,.,allá .%mor: adv|allá=there .,%mor:
2892,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,505,.,u:i aquí está haciéndole cosquillas .%mor: co|ui adv|aquí=here aux|esta-3S&PRES=be part|hace-PRPART~pro:clit|3S=do n|cosquilla&f-PL=tickle .,%mor:
2893,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,508,.,que .%mor: pro:rel|que=that .,%mor:
2894,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,510,.,le hace cosquillas mira .%mor: pro:ind|le&m=him v|hace-3S&PRES=do n|cosquilla&f-PL=tickle co|mira=look .,%mor:
2895,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,513,.,que .%mor: pro:rel|que=that .,%mor:
2896,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,515,.,esta mono le hace cosquillas a este otro así .%mor: det:dem|este-f=this n|mono-m=monkey pro:ind|le&m=him v|hace-3S&PRES=do n|cosquilla&f-PL=tickle prepart|a=to det:dem|este=this pro:indef|otro-m=other adv|así=thus .,%mor:
2897,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,519,.,que .%mor: pro:rel|que=that .,%mor:
2898,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,521,?,que le hace ?%mor: pro:rel|que=that pro:ind|le&m=him v|hace-3S&PRES=do ?,%mor:
2899,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,523,.,(cos)quillas .%mor: n|cosquilla&f-PL=tickle .,%mor:
2900,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,525,?,cosquillas ?%mor: n|cosquilla&f-PL=tickle ?,%mor:
2901,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,527,?,y aquí ?%mor: coord|y=and adv|aquí=here ?,%mor:
2902,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,529,.,cha .%mor: co|cha .,%mor:
2903,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,531,.,aquí .%mor: adv|aquí=here .,%mor:
2904,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,533,.,que um u:i aquí .%mor: pro:rel|que=that co|um co|ui adv|aquí=here .,%mor:
2905,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,535,!,u:i !%mor: co|ui !,%mor:
2906,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,537,?,aquí que está haciendo ?%mor: adv|aquí=here pro:rel|que=that aux|esta-3S&PRES=be part|hace-PRPART=do ?,%mor:
2907,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,540,.,que (ba)nana@s [: plátano] .%mor: pro:rel|que=that n|plátano&m=banana .,%mor:
2908,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,542,?,una banana@s [: plátano] ?%mor: det:art|un-f=one n|plátano&m=banana ?,%mor:
2909,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,544,.,sí a (ba)nana@s .%mor: co|sí=yes prepart|a=to L2|banana .,%mor:
2910,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,546,?,le dan una banana@s [= plátano] al mono ?%mor: pro:ind|le&m=him v|da-3P&PRES=give pro:indef|una=one L2|banana prepart|a~det:art|el&m=to n|mono-m=monkey ?,%mor:
2911,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,549,.,(se)ñora .%mor: n|señora&f=lady .,%mor:
2912,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,551,.,la señora .%mor: det:art|el&f&SG=the n|señora&f=lady .,%mor:
2913,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,553,.,toma toma toma .%mor: v|toma-3S&PRES=take v|toma-3S&PRES=take v|toma-3S&PRES=take .,%mor:
2914,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,555,?,"toma , toma y donde está sentado ?%mor: v|toma-3S&PRES=take cm|cm v|toma-3S&PRES=take coord|y=and pro:rel|donde=where cop|esta-3S&PRES=be part|senta-PPART-m=sit ?",%mor:
2915,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,558,.,esa .%mor: det:dem|ese-f=that .,%mor:
2916,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,560,.,(l)a (s)illa .%mor: det:art|el&f&SG=the n|silla&f=chair .,%mor:
2917,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,562,.,en la silla .%mor: prep|en=in det:art|el&f&SG=the n|silla&f=chair .,%mor:
2918,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,564,.,(l)a (s)illa .%mor: det:art|el&f&SG=the n|silla&f=chair .,%mor:
2919,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,566,.,sí .%mor: co|sí=yes .,%mor:
2920,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,568,.,e(l) tu antes e monos (l)a niña .%mor: det:art|el&m&SG=the det:poss|tu=your adv|antes=before coord|e=and adj|mono-m-PL=cool det:art|el&f&SG=the co|niña=child .,%mor:
2921,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,571,?,la niña ?%mor: det:art|el&f&SG=the n|niño-f=child ?,%mor:
2922,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,573,.,mono .%mor: n|mono-m=monkey .,%mor:
2923,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,575,.,está con el mono .%mor: cop|esta-3S&PRES=be prep|con=with det:art|el&m&SG=the n|mono-m=monkey .,%mor:
2924,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,578,.,la niña e(l) mono a no niña (l)a niña e(l) mono .%mor: det:art|el&f&SG=the n|niño-f=child det:art|el&m&SG=the n|mono-m=monkey prepart|a=to co|no co|niña=child det:art|el&f&SG=the n|niño-f=child det:art|el&m&SG=the n|mono-m=monkey .,%mor:
2925,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,582,.,la niña y el mono están ahí hablando .%mor: det:art|el&f&SG=the co|niña=child coord|y=and det:art|el&m&SG=the n|mono-m=monkey cop|esta-3P&PRES=be adv|ahí=there part|habla-PRPART=speak .,%mor:
2926,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,586,.,tapa tapa tapa así hab(l)an .%mor: v|tapa-3S&PRES=cover n|tapa&f=cover v|tapa-3S&PRES=cover adv|así=thus v|habla-3P&PRES=speak .,%mor:
2927,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,589,.,xxx .,%mor:
2928,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,590,.,así .%mor: adv|así=thus .,%mor:
2929,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,592,?,mira que tiene ?%mor: co|mira=look pro:rel|que=that v|tene-3S&PRES=have ?,%mor:
2930,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,594,.,que .%mor: pro:rel|que=that .,%mor:
2931,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,596,?,que tiene aquí el mono ?%mor: pro:rel|que=that v|tene-3S&PRES=have adv|aquí=here det:art|el&m&SG=the n|mono-m=monkey ?,%mor:
2932,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,599,.,un babero .%mor: det:art|un&m=one n|babero&m=bib .,%mor:
2933,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,601,.,que que .%mor: pro:rel|que=that pro:rel|que=that .,%mor:
2934,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,603,?,que tiene ?%mor: pro:rel|que=that v|tene-3S&PRES=have ?,%mor:
2935,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,605,.,se mono llora .%mor: pro:refl|se=itself n|mono-m=monkey v|llora-3S&PRES=cry .,%mor:
2936,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,607,?,el mono tiene llora ?%mor: det:art|el&m&SG=the n|mono-m=monkey v|tene-3S&PRES=have v|llora-3S&PRES=cry ?,%mor:
2937,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,610,.,sí .%mor: co|sí=yes .,%mor:
2938,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,612,.,sí .%mor: co|sí=yes .,%mor:
2939,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,614,.,mono llora .%mor: n|mono-m=monkey v|llora-3S&PRES=cry .,%mor:
2940,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,616,?,está llorando ?%mor: aux|esta-3S&PRES=be part|llora-PRPART=cry ?,%mor:
2941,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,618,.,a ah .%mor: prepart|a=to co|ah .,%mor:
2942,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,621,!,ay !%mor: co|ay=ay !,%mor:
2943,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,623,.,pobre mono .%mor: adj|pobre=poor n|mono-m=monkey .,%mor:
2944,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,625,.,que .%mor: pro:rel|que=that .,%mor:
2945,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,627,!,que llora !%mor: pro:rel|que=that v|llora-3S&PRES=cry !,%mor:
2946,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,629,.,que .%mor: pro:rel|que=that .,%mor:
2947,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,631,?,llora ?%mor: imp|llora-2S&IMP=cry ?,%mor:
2948,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,633,.,mi lib(r)o ese .%mor: det:poss|mi=my n|libro&m=book det:dem|ese=that .,%mor:
2949,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,635,?,en el libro ?%mor: prep|en=in det:art|el&m&SG=the n|libro&m=book ?,%mor:
2950,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,637,.,ese .%mor: det:dem|ese=that .,%mor:
2951,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,639,!,ahí que hace u:i !%mor: adv|ahí=there pro:rel|que=that v|hace-3S&PRES=do co|ui !,%mor:
2952,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,641,.,aquí tiene que tiene ese mono .%mor: adv|aquí=here v|tene-3S&PRES=have pro:rel|que=that v|tene-3S&PRES=have det:dem|ese=that n|mono-m=monkey .,%mor:
2953,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,644,.,un con .%mor: det:art|un&m=one prep|con=with .,%mor:
2954,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,646,.,un libro que tiene un león y una rana .%mor: det:art|un&m=one n|libro&m=book pro:rel|que=that v|tene-3S&PRES=have det:art|un&m=one n|león&m=lion coord|y=and det:art|un-f=one n|rana&f=frog .,%mor:
2955,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,650,?,has visto que libro tiene ?%mor: aux|habe-2S&PRES=have part|ve-PPART-m=see prep|que=than n|libro&m=book v|tene-3S&PRES=have ?,%mor:
2956,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,653,.,pala en pala .%mor: n|pala&f=wooden_shovel prep|en=in n|pala&f=wooden_shovel .,%mor:
2957,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,655,?,eh ?%mor: co|eh ?,%mor:
2958,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,657,.,don nana .%mor: n|don&m=Esquire n|nana&f=grandma .,%mor:
2959,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,659,?,un león y una rana tiene ?%mor: det:art|un&m=one n|león&m=lion coord|y=and det:art|un-f=one n|rana&f=frog v|tene-3S&PRES=have ?,%mor:
2960,020500b.cha,spa,Linaza,CHI,2;05.00,.,.,.,Target_Child,.,.,662,.,ese (tor)tuga ese ana [: una] etuga [: tortuga] .%mor: det:dem|ese=that n|tortuga&f=turtoise det:dem|ese=that det:art|un-f=one n|tortuga&f=turtoise .,%mor:
2961,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,665,!,ah !%mor: co|ah !,%mor:
2962,020500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,667,.,una tortuga .%mor: det:art|un-f=one n|tortuga&f=turtoise .,%mor:
