original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes
6209,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,43,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,
6210,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,45,?,de qué trataba ?%mor: prep|de=of pro:int|qué=what v|trata-13S&PAS=treat ?,%mor:,0,,,0,0,0,,,,
6211,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,45,v|trata-13s&pas=treat,de qué trataba ?%mor: prep|de=of pro:int|qué=what v|trata-13S&PAS=treat ?,%svd:,tratar,0,0,3,s,pas,,,,
6212,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,47,.,a_ver .%mor: co|a_ver=lets_see .,%mor:,0,,,0,0,0,,,,
6213,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,49,.,que se llevaba el sapo .%mor: pro:rel|que=that pro:refl|se=itself v|lleva-13S&PAS=carry det:art|el&m&SG=the n|sapo&m=toad .,%mor:,0,,,0,0,0,,,,
6214,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,49,v|lleva-13s&pas=carry,que se llevaba el sapo .%mor: pro:rel|que=that pro:refl|se=itself v|lleva-13S&PAS=carry det:art|el&m&SG=the n|sapo&m=toad .,%svd:,llevar,0,1,3,s,pas,,,,
6215,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,52,.,muy bien .%mor: adv|muy=very adv|bien=well .,%mor:,0,,,0,0,0,,,,
6216,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,54,?,quién se lo llevaba ?%mor: pro:int|quién=who pro:refl|se=itself pro:obj|lo&m=him v|lleva-13S&PAS=carry ?,%mor:,0,,,0,0,0,,,,
6217,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,54,v|lleva-13s&pas=carry,quién se lo llevaba ?%mor: pro:int|quién=who pro:refl|se=itself pro:obj|lo&m=him v|lleva-13S&PAS=carry ?,%svd:,llevar,wh,1,3,s,pas,,,,
6218,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,57,.,el nene .%mor: det:art|el&m&SG=the co:voc|nene=baby .,%mor:,0,,,0,0,0,,,,
6219,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,59,?,"muy bien, y qué pasaba ?%mor: adv|muy=very adv|bien=well cm|cm coord|y=and pro:int|qué=what v|pasa-13S&PAS=pass ?",%mor:,0,,,0,0,0,,,,
6220,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,59,v|pasa-13s&pas=pass,"muy bien, y qué pasaba ?%mor: adv|muy=very adv|bien=well cm|cm coord|y=and pro:int|qué=what v|pasa-13S&PAS=pass ?",%svd:,pasar,wh,0,3,s,pas,,,,
6221,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,62,.,"y se le llevaba con un sapo en, en la, en, en una, en una comida .%mor: coord|y=and pro:refl|se=itself pro:ind|le=him v|lleva-13S&PAS=carry prep|con=with det:art|un&m=one n|sapo&m=toad prep|en=in cm|cm prep|en=in det:art|el&f&SG=the cm|cm prep|en=in cm|cm prep|en=in det:art|un-f=one cm|cm prep|en=in det:art|un-f=one part|come-PPART-f=eat .",%mor:,0,,,0,0,0,,,,
6222,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,62,v|lleva-13s&pas=carry,"y se le llevaba con un sapo en, en la, en, en una, en una comida .%mor: coord|y=and pro:refl|se=itself pro:ind|le=him v|lleva-13S&PAS=carry prep|con=with det:art|un&m=one n|sapo&m=toad prep|en=in cm|cm prep|en=in det:art|el&f&SG=the cm|cm prep|en=in cm|cm prep|en=in det:art|un-f=one cm|cm prep|en=in det:art|un-f=one part|come-PPART-f=eat .",%svd:,llevar,0,1,3,s,pas,,,,
6223,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,68,.,muy bien .%mor: adv|muy=very adv|bien=well .,%mor:,0,,,0,0,0,,,,
6224,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,70,?,"a_ver, quieres que vayamos pasando las imágenes ?%mor: co|a_ver=lets_see cm|cm v|quere-2S&PRES=want pro:rel|que=that v|i-1P&SUB&PRES=go part|pasa-PROG=pass det:art|el&f-PL=the n|imágenes&f=images ?",%mor:,0,,,0,0,0,,,,
6225,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,70,v|quere-2s&pres=want,"a_ver, quieres que vayamos pasando las imágenes ?%mor: co|a_ver=lets_see cm|cm v|quere-2S&PRES=want pro:rel|que=that v|i-1P&SUB&PRES=go part|pasa-PROG=pass det:art|el&f-PL=the n|imágenes&f=images ?",%svd:,querer,0,1,2,s,pres,,,,
6226,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,70,v|i-1p&sub&pres=go,"a_ver, quieres que vayamos pasando las imágenes ?%mor: co|a_ver=lets_see cm|cm v|quere-2S&PRES=want pro:rel|que=that v|i-1P&SUB&PRES=go part|pasa-PROG=pass det:art|el&f-PL=the n|imágenes&f=images ?",%svd:,ir,0,1,1,p,sub&pres,switch,switch,,
6227,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,74,?,qué pasaba acá ?%mor: pro:int|qué=what v|pasa-13S&PAS=pass adv|acá=there ?,%mor:,0,,,0,0,0,,,,
6228,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,74,v|pasa-13s&pas=pass,qué pasaba acá ?%mor: pro:int|qué=what v|pasa-13S&PAS=pass adv|acá=there ?,%svd:,pasar,wh,0,3,s,pas,,,,
6229,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,76,.,le dicía [: decía] chao al perro .%mor: pro:ind|le=him v|deci-13S&PAS=say co|chao=goodbye aprep|a~det:art|el&m=to n|perro-m=dog .,%mor:,0,,,0,0,0,,,,
6230,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,76,v|deci-13s&pas=say,le dicía [: decía] chao al perro .%mor: pro:ind|le=him v|deci-13S&PAS=say co|chao=goodbye aprep|a~det:art|el&m=to n|perro-m=dog .,%svd:,decir,0,1,3,s,pas,,,,
6231,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,79,.,claro .%mor: co|claro=obvious .,%mor:,0,,,0,0,0,,,,
6232,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,81,?,"y qué, y qué pasaba ?%mor: coord|y=and pro:int|qué=what cm|cm coord|y=and pro:int|qué=what v|pasa-13S&PAS=pass ?",%mor:,0,,,0,0,0,,,,
6233,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,81,v|pasa-13s&pas=pass,"y qué, y qué pasaba ?%mor: coord|y=and pro:int|qué=what cm|cm coord|y=and pro:int|qué=what v|pasa-13S&PAS=pass ?",%svd:,pasar,wh,0,3,s,pas,,,,
6234,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,84,?,quién se iba con él ?%mor: pro:int|quién=who pro:refl|se=itself v|i-13S&PAS=go prep|con=with pro:sub|él&m=he ?,%mor:,0,,,0,0,0,,,,
6235,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,84,v|i-13s&pas=go,quién se iba con él ?%mor: pro:int|quién=who pro:refl|se=itself v|i-13S&PAS=go prep|con=with pro:sub|él&m=he ?,%svd:,ir,wh,1,3,s,pas,,,,
6236,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,87,?,"a la, a la, a la fiesta ?%mor: aprep|a=to det:art|el&f&SG=the cm|cm aprep|a=to det:art|el&f&SG=the cm|cm aprep|a=to det:art|el&f&SG=the n|fiesta&f=festival ?",%mor:,0,,,0,0,0,,,,
6237,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,90,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,
6238,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,92,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,
6239,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,94,?,quién se iba ?%mor: pro:int|quién=who pro:refl|se=itself v|i-13S&PAS=go ?,%mor:,0,,,0,0,0,,,,
6240,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,94,v|i-13s&pas=go,quién se iba ?%mor: pro:int|quién=who pro:refl|se=itself v|i-13S&PAS=go ?,%svd:,ir,wh,1,3,s,pas,,,,
6241,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,96,?,el nene ?%mor: det:art|el&m&SG=the co:voc|nene=baby ?,%mor:,0,,,0,0,0,,,,
6242,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,98,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,
6243,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,100,.,"y el sapo, y el, y el, y la mamá, y el señor .%mor: coord|y=and det:art|el&m&SG=the n|sapo&m=toad cm|cm coord|y=and det:art|el&m&SG=the cm|cm coord|y=and det:art|el&m&SG=the cm|cm coord|y=and det:art|el&f&SG=the n|mamá&f=mommy cm|cm coord|y=and det:art|el&m&SG=the co:voc|señor=sir .",%mor:,0,,,0,0,0,,,,
6244,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,105,.,muy bien .%mor: adv|muy=very adv|bien=well .,%mor:,0,,,0,0,0,,,,
6245,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,107,v|sabe-13s&pas=know,y el nene sabía que el sapo está +/.%mor: coord|y=and det:art|el&m&SG=the co:voc|nene=baby v|sabe-13S&PAS=know prep|que=than det:art|el&m&SG=the n|sapo&m=toad cop|esta-3S&PRES=be +/.,%mor:,0,,,0,0,0,,,,
6245,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,107,v|sabe-13s&pas=know,y el nene sabía que el sapo está +/.%mor: coord|y=and det:art|el&m&SG=the co:voc|nene=baby v|sabe-13S&PAS=know prep|que=than det:art|el&m&SG=the n|sapo&m=toad cop|esta-3S&PRES=be +/.,%svd:,saber,DP-def,1,3,s,pas,,,,
6246,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,107,cop|esta-3s&pres=be,y el nene sabía que el sapo está +/.%mor: coord|y=and det:art|el&m&SG=the co:voc|nene=baby v|sabe-13S&PAS=know prep|que=than det:art|el&m&SG=the n|sapo&m=toad cop|esta-3S&PRES=be +/.,%svd:,estar,na,na,na,na,na,na,na,na,false start
6247,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,111,?,"+, se había ido con él, o no ?%mor: pro:refl|se=itself aux|habe-13S&PAS=have part|i-PPART-m=go prep|con=with pro:sub|él&m=he cm|cm coord|o=or adv|no=no ?",%mor:,0,,,0,0,0,,,,
6248,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,111,aux|habe-13s&pas=have,"+, se había ido con él, o no ?%mor: pro:refl|se=itself aux|habe-13S&PAS=have part|i-PPART-m=go prep|con=with pro:sub|él&m=he cm|cm coord|o=or adv|no=no ?",%svd:,haber,DP-def,1,3,s,pas,switch,switch,,
6249,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,114,.,se le metió a escondidas .%mor: pro:refl|se=itself pro:ind|le=him v|mete-3S&PRET=put aprep|a=to adj|escondido-f-PL=hidden .,%mor:,0,,,0,0,0,,,,
6250,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,114,v|mete-3s&pret=put,se le metió a escondidas .%mor: pro:refl|se=itself pro:ind|le=him v|mete-3S&PRET=put aprep|a=to adj|escondido-f-PL=hidden .,%svd:,meter,0,1,3,s,pret,,same,,
6251,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,117,.,"sí, se le metió a e(s)condidas .%mor: co|sí=yes cm|cm pro:refl|se=itself pro:ind|le=him v|mete-3S&PRET=put aprep|a=to adj|escondido-f-PL=hidden .",%mor:,0,,,0,0,0,,,,
6252,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,117,v|mete-3s&pret=put,"sí, se le metió a e(s)condidas .%mor: co|sí=yes cm|cm pro:refl|se=itself pro:ind|le=him v|mete-3S&PRET=put aprep|a=to adj|escondido-f-PL=hidden .",%svd:,meter,0,1,3,s,pret,,,,
6253,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,120,.,claro .%mor: co|claro=obvious .,%mor:,0,,,0,0,0,,,,
6254,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,122,.,y se le salió la mamá y este .%mor: coord|y=and pro:refl|se=itself pro:ind|le=him v|sali-3S&PRET=leave det:art|el&f&SG=the n|mamá&f=mommy coord|y=and det:dem|este=this .,%mor:,0,,,0,0,0,,,,
6255,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,122,v|sali-3s&pret=leave,y se le salió la mamá y este .%mor: coord|y=and pro:refl|se=itself pro:ind|le=him v|sali-3S&PRET=leave det:art|el&f&SG=the n|mamá&f=mommy coord|y=and det:dem|este=this .,%svd:,salir,DP-def?,1,3,s,pret,,,,unclear reference - mamá or sapo?
6256,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,125,.,muy bien .%mor: adv|muy=very adv|bien=well .,%mor:,0,,,0,0,0,,,,
6257,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,127,.,"mira, tu hermano te aplaude de lo bien que lo contás .%mor: co|mira=look cm|cm det:poss|tu=your n|hermano-m=sibling pro:obj|te=you v|aplaudi-3S&PRES=aplaud prep|de=of pro:obj|lo&m=him adv|bien=well conj|que=that pro:obj|lo&m=him v|conta-2S&PRES=count_tell .",%mor:,0,,,0,0,0,,,,
6258,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,127,v|aplaudi-3s&pres=aplaud,"mira, tu hermano te aplaude de lo bien que lo contás .%mor: co|mira=look cm|cm det:poss|tu=your n|hermano-m=sibling pro:obj|te=you v|aplaudi-3S&PRES=aplaud prep|de=of pro:obj|lo&m=him adv|bien=well conj|que=that pro:obj|lo&m=him v|conta-2S&PRES=count_tell .",%svd:,aplaudir,DP-def,1,3,s,pres,,,,
6259,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,127,v|conta-2s&pres=count_tell,"mira, tu hermano te aplaude de lo bien que lo contás .%mor: co|mira=look cm|cm det:poss|tu=your n|hermano-m=sibling pro:obj|te=you v|aplaudi-3S&PRES=aplaud prep|de=of pro:obj|lo&m=him adv|bien=well conj|que=that pro:obj|lo&m=him v|conta-2S&PRES=count_tell .",%svd:,contar,0,1,2,s,pres,switch,switch,,
6260,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,132,?,y entonces qué pasaba ?%mor: coord|y=and adv|entonces=then pro:int|qué=what v|pasa-13S&PAS=pass ?,%mor:,0,,,0,0,0,,,,
6261,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,132,v|pasa-13s&pas=pass,y entonces qué pasaba ?%mor: coord|y=and adv|entonces=then pro:int|qué=what v|pasa-13S&PAS=pass ?,%svd:,pasar,wh,0,3,s,pas,,,,
6262,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,135,?,te acordás ?%mor: pro:obj|te=you v|acorda-2S&PRES=remind ?,%mor:,0,,,0,0,0,,,,
6263,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,135,v|acorda-2s&pres=remind,te acordás ?%mor: pro:obj|te=you v|acorda-2S&PRES=remind ?,%svd:,acordar,0,1,2,s,pres,,same,,
6264,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,137,?,adónde iban ?%mor: pro:int|adónde=whither v|i-3P&PAS=go ?,%mor:,0,,,0,0,0,,,,
6265,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,137,v|i-3p&pas=go,adónde iban ?%mor: pro:int|adónde=whither v|i-3P&PAS=go ?,%svd:,ir,0,1,3,p,pas,,switch,,
6266,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,139,v|i-3p&pas=go,iban +...%mor: v|i-3P&PAS=go +...,%mor:,0,,,0,0,0,,,,
6266,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,139,v|i-3p&pas=go,iban +...%mor: v|i-3P&PAS=go +...,%svd:,ir,0,1,3,p,pas,,,,
6267,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,143,.,restau(rante) .%mor: n|restaurante&m=restaurant .,%mor:,0,,,0,0,0,,,,
6268,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,145,.,restaurante .%mor: n|restaurante&m=restaurant .,%mor:,0,,,0,0,0,,,,
6269,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,147,.,muy bien .%mor: adv|muy=very adv|bien=well .,%mor:,0,,,0,0,0,,,,
6270,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,149,v|hace-13s&pas=do,y qué hacía +/.%mor: coord|y=and pro:int|qué=what v|hace-13S&PAS=do +/.,%mor:,0,,,0,0,0,,,,
6270,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,149,v|hace-13s&pas=do,y qué hacía +/.%mor: coord|y=and pro:int|qué=what v|hace-13S&PAS=do +/.,%svd:,hacer,na,na,na,na,na,na,na,na,false start
6271,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,151,?,qué hizo el sapo ?%mor: pro:int|qué=what v|hace-3S&PRET=do det:art|el&m&SG=the n|sapo&m=toad ?,%mor:,0,,,0,0,0,,,,
6272,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,151,v|hace-3s&pret=do,qué hizo el sapo ?%mor: pro:int|qué=what v|hace-3S&PRET=do det:art|el&m&SG=the n|sapo&m=toad ?,%svd:,hacer,DP-def,1,3,s,pret,,,,
6273,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,154,.,"saltaba en el, la trompeta .%mor: v|salta-13S&PAS=jump prep|en=in det:art|el&m&SG=the cm|cm det:art|el&f&SG=the n|trompa&f-DIM=horn .",%mor:,0,,,0,0,0,,,,
6274,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,154,v|salta-13s&pas=jump,"saltaba en el, la trompeta .%mor: v|salta-13S&PAS=jump prep|en=in det:art|el&m&SG=the cm|cm det:art|el&f&SG=the n|trompa&f-DIM=horn .",%svd:,saltar,0,1,3,s,pas,,,,
6275,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,157,.,muy bien .%mor: adv|muy=very adv|bien=well .,%mor:,0,,,0,0,0,,,,
6276,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,159,?,y entonces ?%mor: coord|y=and adv|entonces=then ?,%mor:,0,,,0,0,0,,,,
6277,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,161,.,se metió y no podía soplar el señor .%mor: pro:refl|se=itself v|mete-3S&PRET=put coord|y=and adv|no=no v|pode-13S&PAS=can inf|sopla-INF=blow det:art|el&m&SG=the co:voc|señor=sir .,%mor:,0,,,0,0,0,,,,
6278,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,161,v|mete-3s&pret=put,se metió y no podía soplar el señor .%mor: pro:refl|se=itself v|mete-3S&PRET=put coord|y=and adv|no=no v|pode-13S&PAS=can inf|sopla-INF=blow det:art|el&m&SG=the co:voc|señor=sir .,%svd:,meter,0,1,3,s,pret,,,,
6279,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,161,v|pode-13s&pas=can,se metió y no podía soplar el señor .%mor: pro:refl|se=itself v|mete-3S&PRET=put coord|y=and adv|no=no v|pode-13S&PAS=can inf|sopla-INF=blow det:art|el&m&SG=the co:voc|señor=sir .,%svd:,poder,DP-def,1,3,s,pas,switch,switch,,
6280,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,165,.,muy bien .%mor: adv|muy=very adv|bien=well .,%mor:,0,,,0,0,0,,,,
6281,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,167,.,"y &na, y sacó la rana de, de la, de la, de la cara .%mor: coord|y=and cm|cm coord|y=and v|saca-3S&PRET=bring_out det:art|el&f&SG=the n|rana&f=frog prep|de=of cm|cm prep|de=of det:art|el&f&SG=the cm|cm prep|de=of det:art|el&f&SG=the cm|cm prep|de=of det:art|el&f&SG=the n|cara&f=face .",%mor:,0,,,0,0,0,,,,
6282,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,167,v|saca-3s&pret=bring_out,"y &na, y sacó la rana de, de la, de la, de la cara .%mor: coord|y=and cm|cm coord|y=and v|saca-3S&PRET=bring_out det:art|el&f&SG=the n|rana&f=frog prep|de=of cm|cm prep|de=of det:art|el&f&SG=the cm|cm prep|de=of det:art|el&f&SG=the cm|cm prep|de=of det:art|el&f&SG=the n|cara&f=face .",%svd:,sacar,0,1,3,s,pret,,same?,,
6283,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,172,.,"muy bien, se le cayó encima .%mor: adv|muy=very adv|bien=well cm|cm pro:refl|se=itself pro:ind|le=him v|cae-3S&PRET=fall adv|encima=on_top .",%mor:,0,,,0,0,0,,,,
6284,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,172,v|cae-3s&pret=fall,"muy bien, se le cayó encima .%mor: adv|muy=very adv|bien=well cm|cm pro:refl|se=itself pro:ind|le=him v|cae-3S&PRET=fall adv|encima=on_top .",%svd:,caer,0,1,3,s,pret,,,,
6285,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,175,.,"mira, justo lo que contaste .%mor: co|mira=look cm|cm co|justo=right pro:obj|lo&m=him pro:rel|que=that v|conta-2S&PRET=count_tell .",%mor:,0,,,0,0,0,,,,
6286,ABB-SDS-2019-02-04-cuentonininv-SDS.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,175,v|conta-2s&pret=count_tell,"mira, justo lo que contaste .%mor: co|mira=look cm|cm co|justo=right pro:obj|lo&m=him pro:rel|que=that v|conta-2S&PRET=count_tell .",%svd:,contar,0,1,2,s,pret,,switch,,
